,ligne,N_dpt,Date,Type,N_ref,Nom,Organisme,Commune,Analysé,G_session,Espèce,Lignée,Sexe,Génotype,IQ
1182,"06 01/03/2019 F F0619125 ZIMMERMANN ONF SAORGE OUI 17/10/2019 Canis lupus Italo-alpine NI NA 0,00",6,01/03/2019,F,F0619125,ZIMMERMANN,ONF,SAORGE,OUI,17/10/2019,Canis lupus,Italo-alpine,NI,NA,0
1183,"06 01/03/2019 F F0619124 ZIMMERMANN ONF SAORGE OUI 17/10/2019 Canis lupus Italo-alpine XX S57-14 0,86",6,01/03/2019,F,F0619124,ZIMMERMANN,ONF,SAORGE,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S57-14,"0,86"
1184,"06 04/03/2019 F F0619073 KRAMMER PNM ROUBION OUI 17/10/2019 Canis lupus Italo-alpine XY S66-29 1,00",6,04/03/2019,F,F0619073,KRAMMER,PNM,ROUBION,OUI,17/10/2019,Canis lupus,Italo-alpine,XY,S66-29,1
1185,"06 04/03/2019 F F0619090 MILLISCHER PNM VALDEBLORE OUI 17/10/2019 Canis lupus Italo-alpine XX S63-35 0,85",6,04/03/2019,F,F0619090,MILLISCHER,PNM,VALDEBLORE,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S63-35,"0,85"
1186,"06 04/03/2019 F F0619090 MILLISCHER Particulier VALDEBLORE OUI 17/10/2019 Canis lupus Italo-alpine XX S63-35 0,85",6,04/03/2019,F,F0619090,MILLISCHER,Particulier,VALDEBLORE,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S63-35,"0,85"
1187,"06 04/03/2019 F F0619089 MILLISCHER PNM VALDEBLORE OUI 17/02/2020 Canis lupus Italo-alpine XY S61-04 0,96",6,04/03/2019,F,F0619089,MILLISCHER,PNM,VALDEBLORE,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S61-04,"0,96"
1188,"06 04/03/2019 F F0619089 MILLISCHER Particulier VALDEBLORE OUI 17/02/2020 Canis lupus Italo-alpine XY S61-04 0,96",6,04/03/2019,F,F0619089,MILLISCHER,Particulier,VALDEBLORE,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S61-04,"0,96"
1189,"06 04/03/2019 F F0619088 MILLISCHER PNM VALDEBLORE OUI 17/10/2019 Canis lupus Italo-alpine XX S63-35 1,00",6,04/03/2019,F,F0619088,MILLISCHER,PNM,VALDEBLORE,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S63-35,1
1190,"06 04/03/2019 F F0619088 MILLISCHER Particulier VALDEBLORE OUI 17/10/2019 Canis lupus Italo-alpine XX S63-35 1,00",6,04/03/2019,F,F0619088,MILLISCHER,Particulier,VALDEBLORE,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S63-35,1
1191,"06 04/03/2019 F F0619128 MARTIN-DHERMONT PNM GUILLAUMES OUI 17/10/2019 Canis lupus Italo-alpine XY S66-12 1,00",6,04/03/2019,F,F0619128,MARTIN-DHERMONT,PNM,GUILLAUMES,OUI,17/10/2019,Canis lupus,Italo-alpine,XY,S66-12,1
