,ligne,N_dpt,Date,Type,N_ref,Nom,Organisme,Commune,Analysé,G_session,Espèce,Lignée,Sexe,Génotype,IQ
1,O1 20/10/2018 F F0118001 RICHEROT OFB MIJOUX OUI 11/02/2019 Vulpes vulpes,1,20/10/2018,F,F0118001,RICHEROT,OFB,MIJOUX,OUI,11/02/2019,Vulpes vulpes,,,,
2,O1 17/11/2018 F F0118002 GAULARD FDC MIJOUX OUI 17/02/2020 Vulpes vulpes,1,17/11/2018,F,F0118002,GAULARD,FDC,MIJOUX,OUI,17/02/2020,Vulpes vulpes,,,,
3,O1 26/05/2019 P P0119001 POULY OFB ARMIX NON RENARD,1,26/05/2019,P,P0119001,POULY,OFB,ARMIX,NON,,RENARD,,,,
4,"O1 27/05/2019 F F0119001 POULY OFB LA BURBANCHE OUI 26/10/2020 Canis lupus Italo-alpine XY S71-016 0,94",1,27/05/2019,F,F0119001,POULY,OFB,LA BURBANCHE,OUI,26/10/2020,Canis lupus,Italo-alpine,XY,S71-016,"0,94"
5,O1 31/07/2019 F F0119002 BAZIREAU OFB HOSTIAS OUI 10/06/2020 Impossible NA,1,31/07/2019,F,F0119002,BAZIREAU,OFB,HOSTIAS,OUI,10/06/2020,Impossible NA,,,,
6,O1 31/07/2019 F F0119003 BAZIREAU OFB ST MARTIN DU MONT OUI 08/02/2021 Vulpes vulpes,1,31/07/2019,F,F0119003,BAZIREAU,OFB,ST MARTIN DU MONT,OUI,08/02/2021,Vulpes vulpes,,,,
7,O1 15/10/2019 F F0119004 CADIER RNHCJ MIJOUX NON,1,15/10/2019,F,F0119004,CADIER,RNHCJ,MIJOUX,NON,,,,,,
8,O1 15/03/2020 F F0120001 DUMONT AEM VESANCY NON,1,15/03/2020,F,F0120001,DUMONT,AEM,VESANCY,NON,,,,,,
9,"02 18/01/2019 D D0219001 MARANDET OFB MONTAIGU OUI 11/02/2019 Canis familiaris NA XX CH-S58-01 1,00",2,18/01/2019,D,D0219001,MARANDET,OFB,MONTAIGU,OUI,11/02/2019,Canis familiaris,NA,XX,CH-S58-01,1
10,02 30/05/2019 F F0219001 NIANGNOT OFB SAINT-PIERREMONT OUI 14/11/2019 Vulpes vulpes,2,30/05/2019,F,F0219001,NIANGNOT,OFB,SAINT-PIERREMONT,OUI,14/11/2019,Vulpes vulpes,,,,
11,02 31/05/2019 P P0219001 FUND OFB SAINT-PIERREMONT OUI 14/11/2019 Vulpes vulpes,2,31/05/2019,P,P0219001,FUND,OFB,SAINT-PIERREMONT,OUI,14/11/2019,Vulpes vulpes,,,,
12,02 10/01/2020 P P0220001 NIANGNOT OFB HAUTION NON,2,10/01/2020,P,P0220001,NIANGNOT,OFB,HAUTION,NON,,,,,,
13,"04 02/01/2018 F F0418001 ARNAUD OFB CLUMANC OUI 17/07/2019 Canis lupus Italo-alpine XX 546-2 0,60",4,02/01/2018,F,F0418001,ARNAUD,OFB,CLUMANC,OUI,17/07/2019,Canis lupus,Italo-alpine,XX,546-2,"0,6"
14,"04 03/01/2018 F F0418002 ARNAUD OFB ST JULIEN DU VERDON OUI 17/07/2019 Canis lupus Italo-alpine NI NA 0,13",4,03/01/2018,F,F0418002,ARNAUD,OFB,ST JULIEN DU VERDON,OUI,17/07/2019,Canis lupus,Italo-alpine,NI,NA,"0,13"
15,"04 08/01/2018 D D0418001 ARNAUD OFB ST JULIEN DU VERDON OUI 03/04/2018 Canis lupus Italo-alpine XY S54-29 1,00",4,08/01/2018,D,D0418001,ARNAUD,OFB,ST JULIEN DU VERDON,OUI,03/04/2018,Canis lupus,Italo-alpine,XY,S54-29,1
16,04 12/01/2018 F F0418007 ARNAUD OFB CHAUDON NORANTE OUI 17/07/2019 Impossible NA,4,12/01/2018,F,F0418007,ARNAUD,OFB,CHAUDON NORANTE,OUI,17/07/2019,Impossible NA,,,,
17,"04 12/01/2018 F F0418006 ARNAUD OFB CHAUDON NORANTE OUI 17/07/2019 Canis lupus Italo-alpine XX S61-18 0,94",4,12/01/2018,F,F0418006,ARNAUD,OFB,CHAUDON NORANTE,OUI,17/07/2019,Canis lupus,Italo-alpine,XX,S61-18,"0,94"
18,"04 12/01/2018 F F0418005 ARNAUD OFB CHAUDON NORANTE OUI 17/07/2019 Canis lupus Italo-alpine XX S61-18 0,51",4,12/01/2018,F,F0418005,ARNAUD,OFB,CHAUDON NORANTE,OUI,17/07/2019,Canis lupus,Italo-alpine,XX,S61-18,"0,51"
19,"04 12/01/2018 F F0418004 ARNAUD OFB CHAUDON NORANTE OUI 17/07/2019 Canis lupus Italo-alpine XX NA 0,24",4,12/01/2018,F,F0418004,ARNAUD,OFB,CHAUDON NORANTE,OUI,17/07/2019,Canis lupus,Italo-alpine,XX,NA,"0,24"
20,"04 12/01/2018 F F0418003 GARNIER PNP SEYNE OUI 17/07/2019 Canis lupus Italo-alpine XY S58-12 0,22",4,12/01/2018,F,F0418003,GARNIER,PNP,SEYNE,OUI,17/07/2019,Canis lupus,Italo-alpine,XY,S58-12,"0,22"
21,"04 14/01/2018 F F0418146 RAYNAUD Particulier PRADS HAUTE BLEONE OUI 18/09/2019 Canis lupus Italo-alpine XX S65-01 0,66",4,14/01/2018,F,F0418146,RAYNAUD,Particulier,PRADS HAUTE BLEONE,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S65-01,"0,66"
22,"04 15/01/2018 F F0418015 ARNAUD OFB BARREME OUI 17/07/2019 Canis lupus Italo-alpine NI NA 0,22",4,15/01/2018,F,F0418015,ARNAUD,OFB,BARREME,OUI,17/07/2019,Canis lupus,Italo-alpine,NI,NA,"0,22"
23,04 15/01/2018 F F0418016 ARNAUD OFB BARREME NON,4,15/01/2018,F,F0418016,ARNAUD,OFB,BARREME,NON,,,,,,
24,"04 15/01/2018 F F0418013 ARNAUD OFB BARREME OUI 17/07/2019 Canis lupus Italo-alpine XX S56-48 0,70",4,15/01/2018,F,F0418013,ARNAUD,OFB,BARREME,OUI,17/07/2019,Canis lupus,Italo-alpine,XX,S56-48,"0,7"
25,"04 15/01/2018 F F0418010 ARNAUD OFB SENEZ OUI 17/07/2019 Canis lupus Italo-alpine XX NA 0,23",4,15/01/2018,F,F0418010,ARNAUD,OFB,SENEZ,OUI,17/07/2019,Canis lupus,Italo-alpine,XX,NA,"0,23"
26,"04 15/01/2018 F F0418017 ARNAUD OFB BARREME OUI 17/07/2019 Canis lupus Italo-alpine XY S63-03 0,95",4,15/01/2018,F,F0418017,ARNAUD,OFB,BARREME,OUI,17/07/2019,Canis lupus,Italo-alpine,XY,S63-03,"0,95"
27,"04 15/01/2018 F F0418012 ARNAUD OFB SENEZ OUI 17/07/2019 Canis lupus Italo-alpine NI NA 0,00",4,15/01/2018,F,F0418012,ARNAUD,OFB,SENEZ,OUI,17/07/2019,Canis lupus,Italo-alpine,NI,NA,0
28,04 15/01/2018 F F0418011 ARNAUD OFB SENEZ NON,4,15/01/2018,F,F0418011,ARNAUD,OFB,SENEZ,NON,,,,,,
29,04 15/01/2018 F F0418009 ARNAUD OFB SENEZ NON,4,15/01/2018,F,F0418009,ARNAUD,OFB,SENEZ,NON,,,,,,
30,04 15/01/2018 F F0418008 ARNAUD OFB SENEZ NON,4,15/01/2018,F,F0418008,ARNAUD,OFB,SENEZ,NON,,,,,,
31,"04 15/01/2018 F F0418014 ARNAUD OFB BARREME OUI 17/07/2019 Canis lupus Italo-alpine XY S54-30 1,00",4,15/01/2018,F,F0418014,ARNAUD,OFB,BARREME,OUI,17/07/2019,Canis lupus,Italo-alpine,XY,S54-30,1
32,04 16/01/2018 F F0418072 LOMBARD PNM UVERNET FOURS OUI 11/02/2019 Canis lupus Italo-alpine,4,16/01/2018,F,F0418072,LOMBARD,PNM,UVERNET FOURS,OUI,11/02/2019,Canis lupus,Italo-alpine,,,
33,"04 16/01/2018 F F0418018 CALI OFB LAMBRUISSE OUI 09/11/2018 Canis lupus Italo-alpine XY S57-65 0,95",4,16/01/2018,F,F0418018,CALI,OFB,LAMBRUISSE,OUI,09/11/2018,Canis lupus,Italo-alpine,XY,S57-65,"0,95"
34,"04 17/01/2018 F F0418020 ARNAUD OFB ESTOUBLON OUI 17/07/2019 Canis lupus Italo-alpine XY S57-45 0,96",4,17/01/2018,F,F0418020,ARNAUD,OFB,ESTOUBLON,OUI,17/07/2019,Canis lupus,Italo-alpine,XY,S57-45,"0,96"
35,"04 17/01/2018 F F0418019 ARNAUD OFB ESTOUBLON OUI 17/07/2019 Canis lupus Italo-alpine XX S63-21 0,86",4,17/01/2018,F,F0418019,ARNAUD,OFB,ESTOUBLON,OUI,17/07/2019,Canis lupus,Italo-alpine,XX,S63-21,"0,86"
36,"04 19/01/2018 F F0418021 SAGNARD OFB DIGNE LES BAINS OUI 17/07/2019 Canis lupus NA XX S63-48 0,86",4,19/01/2018,F,F0418021,SAGNARD,OFB,DIGNE LES BAINS,OUI,17/07/2019,Canis lupus,NA,XX,S63-48,"0,86"
37,"04 22/01/2018 F F0418081 ROUX PNM COLMARS OUI 17/07/2019 Canis lupus Italo-alpine XY S63-04 0,95",4,22/01/2018,F,F0418081,ROUX,PNM,COLMARS,OUI,17/07/2019,Canis lupus,Italo-alpine,XY,S63-04,"0,95"
38,"04 22/01/2018 F F0418022 ARNAUD OFB BARREME OUI 17/07/2019 Canis lupus Italo-alpine XY S63-03 0,95",4,22/01/2018,F,F0418022,ARNAUD,OFB,BARREME,OUI,17/07/2019,Canis lupus,Italo-alpine,XY,S63-03,"0,95"
39,"04 22/01/2018 F F0418023 ARNAUD OFB BARREME OUI 17/07/2019 Canis lupus Italo-alpine XY S63-22 0,52",4,22/01/2018,F,F0418023,ARNAUD,OFB,BARREME,OUI,17/07/2019,Canis lupus,Italo-alpine,XY,S63-22,"0,52"
40,"04 22/01/2018 F F0418024 ARNAUD OFB BARREME OUI 17/07/2019 Canis lupus Italo-alpine NI S54-30 0,24",4,22/01/2018,F,F0418024,ARNAUD,OFB,BARREME,OUI,17/07/2019,Canis lupus,Italo-alpine,NI,S54-30,"0,24"
41,"04 23/01/2018 D D0418002 ARNAUD OFB BARREME OUI 03/04/2018 Canis lupus Italo-alpine XY S54-30 1,00",4,23/01/2018,D,D0418002,ARNAUD,OFB,BARREME,OUI,03/04/2018,Canis lupus,Italo-alpine,XY,S54-30,1
42,04 24/01/2018 F F0418073 LOMBARD PNM UVERNET FOURS OUI 11/02/2019 Canis lupus Italo-alpine,4,24/01/2018,F,F0418073,LOMBARD,PNM,UVERNET FOURS,OUI,11/02/2019,Canis lupus,Italo-alpine,,,
43,"04 25/01/2018 F F0418074 LOMBARD PNM UVERNET FOURS OUI 14/11/2019 Canis lupus Italo-alpine XX S56-39 0,92",4,25/01/2018,F,F0418074,LOMBARD,PNM,UVERNET FOURS,OUI,14/11/2019,Canis lupus,Italo-alpine,XX,S56-39,"0,92"
44,"04 27/01/2018 F F0418147 RAYNAUD Particulier PRADS HAUTE BLEONE OUI 18/09/2019 Canis lupus Italo-alpine XX S65-28 0,56",4,27/01/2018,F,F0418147,RAYNAUD,Particulier,PRADS HAUTE BLEONE,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S65-28,"0,56"
45,04 28/01/2018 F F0418025 BAUDAT – FRANCESCHI PNR Luberon LES OMERGUES NON,4,28/01/2018,F,F0418025,BAUDAT – FRANCESCHI,PNR Luberon,LES OMERGUES,NON,,,,,,
46,"04 28/01/2018 F F0418026 BOURDIER OFB MARCOUX OUI 17/07/2019 Canis lupus Italo-alpine XY S63-23 0,86",4,28/01/2018,F,F0418026,BOURDIER,OFB,MARCOUX,OUI,17/07/2019,Canis lupus,Italo-alpine,XY,S63-23,"0,86"
47,"04 30/01/2018 F F0418029 ARNAUD OFB ST ANDRE LES ALPES OUI 17/07/2019 Canis familiaris XY CH-$S63-04 0,95",4,30/01/2018,F,F0418029,ARNAUD,OFB,ST ANDRE LES ALPES,OUI,17/07/2019,Canis familiaris,XY,CH,-,
48,"04 30/01/2018 F F0418027 ARNAUD OFB ST ANDRE LES ALPES OUI 17/07/2019 Canis lupus Italo-alpine NI NA 0,00",4,30/01/2018,F,F0418027,ARNAUD,OFB,ST ANDRE LES ALPES,OUI,17/07/2019,Canis lupus,Italo-alpine,NI,NA,0
49,"04 30/01/2018 F F0418028 ARNAUD OFB ST ANDRE LES ALPES OUI 17/07/2019 Canis lupus Italo-alpine XX S63-24 1,00",4,30/01/2018,F,F0418028,ARNAUD,OFB,ST ANDRE LES ALPES,OUI,17/07/2019,Canis lupus,Italo-alpine,XX,S63-24,1
50,04 02/02/2018 F F0418030 ARNAUD OFB LA PALUD SUR VERDON OUI 17/07/2019 Impossible NA,4,02/02/2018,F,F0418030,ARNAUD,OFB,LA PALUD SUR VERDON,OUI,17/07/2019,Impossible NA,,,,
51,04 07/02/2018 F F0418076 FRIBOURG PNM JAUSIERS OUI 17/10/2019 Impossible NA,4,07/02/2018,F,F0418076,FRIBOURG,PNM,JAUSIERS,OUI,17/10/2019,Impossible NA,,,,
52,"04 07/02/2018 F F0418075 BRETON PNM ST PAUL OUI 17/10/2019 Canis familiaris NA NI NA 0,00",4,07/02/2018,F,F0418075,BRETON,PNM,ST PAUL,OUI,17/10/2019,Canis familiaris,NA,NI,NA,0
53,"04 07/02/2018 F F0418077 FRIBOURG PNM JAUSIERS OUI 17/10/2019 Canis lupus NA XY S66-03 0,73",4,07/02/2018,F,F0418077,FRIBOURG,PNM,JAUSIERS,OUI,17/10/2019,Canis lupus,NA,XY,S66-03,"0,73"
54,"04 08/02/2018 F F0418031 ARNAUD OFB LA PALUD SUR VERDON OUI 17/07/2019 Canis lupus Italo-alpine XX S46-10 0,98",4,08/02/2018,F,F0418031,ARNAUD,OFB,LA PALUD SUR VERDON,OUI,17/07/2019,Canis lupus,Italo-alpine,XX,S46-10,"0,98"
55,"04 08/02/2018 F F0418113 LAURENT PNM COLMARS OUI 17/07/2019 Canis lupus NA XY S63-05 0,77",4,08/02/2018,F,F0418113,LAURENT,PNM,COLMARS,OUI,17/07/2019,Canis lupus,NA,XY,S63-05,"0,77"
56,"04 09/02/2018 F F0418079 DUNAND PNM JAUSIERS OUI 17/10/2019 Canis lupus Italo-alpine XY S66-03 0,45",4,09/02/2018,F,F0418079,DUNAND,PNM,JAUSIERS,OUI,17/10/2019,Canis lupus,Italo-alpine,XY,S66-03,"0,45"
57,"04 09/02/2018 F F0418078 DUNAND PNM JAUSIERS OUI 17/10/2019 Canis lupus Italo-alpine XX S48-16 0,88",4,09/02/2018,F,F0418078,DUNAND,PNM,JAUSIERS,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S48-16,"0,88"
58,"04 12/02/2018 F F0418080 BRETON PNM UVERNET FOURS OUI 17/10/2019 Canis lupus Italo-alpine XX S61-35 0,98",4,12/02/2018,F,F0418080,BRETON,PNM,UVERNET FOURS,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S61-35,"0,98"
59,"04 13/02/2018 F F0418043 FAURE OFB NOYERS SUR JABRON OUI 18/09/2019 Canis lupus Italo-alpine XY S65-16 0,56",4,13/02/2018,F,F0418043,FAURE,OFB,NOYERS SUR JABRON,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,S65-16,"0,56"
60,04 14/02/2018 U U0418001 FAURE OFB HAUTES DUVES OUI 18/09/2019 Impossible NA,4,14/02/2018,U,U0418001,FAURE,OFB,HAUTES DUVES,OUI,18/09/2019,Impossible NA,,,,
61,"04 15/02/2018 F F0418082 ROUX PNM ALLOS OUI 17/07/2019 Canis lupus Italo-alpine XY S61-22 0,84",4,15/02/2018,F,F0418082,ROUX,PNM,ALLOS,OUI,17/07/2019,Canis lupus,Italo-alpine,XY,S61-22,"0,84"
62,"04 18/02/2018 F F0418045 BAUDAT – FRANCESCHI PNR Luberon LES OMERGUES OUI 18/09/2019 Canis lupus Italo-alpine XX S65-17 1,00",4,18/02/2018,F,F0418045,BAUDAT – FRANCESCHI,PNR Lubéron,LES OMERGUES,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S65-17,1
63,04 18/02/2018 F F0418044 DURBEC OFB PRADS HAUTE BLEONE OUI 18/09/2019 Vulpes vulpes,4,18/02/2018,F,F0418044,DURBEC,OFB,PRADS HAUTE BLEONE,OUI,18/09/2019,Vulpes vulpes,,,,
64,"04 25/02/2018 F F0418148 RAYNAUD Particulier PRADS HAUTE BLEONE OUI 18/09/2019 Canis lupus Italo-alpine XY S61-05 0,95",4,25/02/2018,F,F0418148,RAYNAUD,Particulier,PRADS HAUTE BLEONE,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,S61-05,"0,95"
65,"04 25/02/2018 F F0418046 ARNAUD OFB LA MOTTE DU CAIRE OUI 18/09/2019 Canis lupus Italo-alpine NI S61-19 0,44",4,25/02/2018,F,F0418046,ARNAUD,OFB,LA MOTTE DU CAIRE,OUI,18/09/2019,Canis lupus,Italo-alpine,NI,S61-19,"0,44"
66,04 25/02/2018 F F0418032 RAYNAUD Particulier PRADS HAUTE BLEONE NON,4,25/02/2018,F,F0418032,RAYNAUD,Particulier,PRADS HAUTE BLEONE,NON,,,,,,
67,"04 26/02/2018 F F0418036 BOYER OFB TURRIERS OUI 18/09/2019 Canis lupus Italo-alpine XX S65-11 0,92",4,26/02/2018,F,F0418036,BOYER,OFB,TURRIERS,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S65-11,"0,92"
68,"04 26/02/2018 F F0418034 BOYER OFB TURRIERS OUI 17/07/2019 Canis lupus Italo-alpine XY S63-26 0,56",4,26/02/2018,F,F0418034,BOYER,OFB,TURRIERS,OUI,17/07/2019,Canis lupus,Italo-alpine,XY,S63-26,"0,56"
69,"04 26/02/2018 F F0418033 BOYER OFB TURRIERS OUI 17/07/2019 Canis lupus Italo-alpine XX S63-25 0,65",4,26/02/2018,F,F0418033,BOYER,OFB,TURRIERS,OUI,17/07/2019,Canis lupus,Italo-alpine,XX,S63-25,"0,65"
70,"04 26/02/2018 F F0418035 BOYER OFB TURRIERS OUI 18/09/2019 Canis familiaris NA NI NA 0,00",4,26/02/2018,F,F0418035,BOYER,OFB,TURRIERS,OUI,18/09/2019,Canis familiaris,NA,NI,NA,0
71,"04 26/02/2018 F F0418037 BOYER OFB TURRIERS OUI 18/09/2019 Canis lupus Italo-alpine XX S61-03 0,95",4,26/02/2018,F,F0418037,BOYER,OFB,TURRIERS,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S61-03,"0,95"
72,"04 27/02/2018 F F0418039 DUCHAMP OFB BAYONS OUI 18/09/2019 Canis lupus Italo-alpine XX NA 0,78",4,27/02/2018,F,F0418039,DUCHAMP,OFB,BAYONS,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,NA,"0,78"
73,"04 27/02/2018 F F0418042 DUCHAMP OFB TURRIERS OUI 18/09/2019 Canis lupus Italo-alpine XY S65-15 0,93",4,27/02/2018,F,F0418042,DUCHAMP,OFB,TURRIERS,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,S65-15,"0,93"
74,04 27/02/2018 F F0418038 DUCHAMP OFB BAYONS OUI 18/09/2019 Vulpes vulpes,4,27/02/2018,F,F0418038,DUCHAMP,OFB,BAYONS,OUI,18/09/2019,Vulpes vulpes,,,,
75,"04 27/02/2018 F F0418040 DUCHAMP OFB BAYONS OUI 18/09/2019 Canis lupus Italo-alpine XX S65-13 0,97",4,27/02/2018,F,F0418040,DUCHAMP,OFB,BAYONS,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S65-13,"0,97"
76,"04 09/03/2018 F F0418051 ARNAUD OFB ESTOUBLON OUI 18/09/2019 Canis lupus Italo-alpine XX NA 0,16",4,09/03/2018,F,F0418051,ARNAUD,OFB,ESTOUBLON,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,NA,"0,16"
77,"04 09/03/2018 F F0418049 ARNAUD OFB ESTOUBLON OUI 18/09/2019 Canis lupus Italo-alpine XX NA 0,38",4,09/03/2018,F,F0418049,ARNAUD,OFB,ESTOUBLON,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,NA,"0,38"
78,"04 09/03/2018 F F0418048 ARNAUD OFB MOUSTIERS STE MARIE OUI 18/09/2019 Canis lupus Italo-alpine XX S46-10 0,95",4,09/03/2018,F,F0418048,ARNAUD,OFB,MOUSTIERS STE MARIE,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S46-10,"0,95"
79,04 09/03/2018 F F0418047 ARNAUD OFB ESTOUBLON NON,4,09/03/2018,F,F0418047,ARNAUD,OFB,ESTOUBLON,NON,,,,,,
80,04 09/03/2018 F F0418052 ARNAUD OFB ESTOUBLON NON,4,09/03/2018,F,F0418052,ARNAUD,OFB,ESTOUBLON,NON,,,,,,
81,"04 09/03/2018 F F0418050 ARNAUD OFB ESTOUBLON OUI 18/09/2019 Canis lupus Italo-alpine XY S63-17 0,63",4,09/03/2018,F,F0418050,ARNAUD,OFB,ESTOUBLON,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,S63-17,"0,63"
82,"04 10/03/2018 F F0418053 ARNAUD OFB BEYNES OUI 18/09/2019 Canis lupus Italo-alpine XY NA 0,47",4,10/03/2018,F,F0418053,ARNAUD,OFB,BEYNES,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,NA,"0,47"
83,"04 11/03/2018 F F0418054 RAYNAUD Particulier PRADS HAUTE BLEONE OUI 18/09/2019 Canis lupus Italo-alpine XX S65-01 0,75",4,11/03/2018,F,F0418054,RAYNAUD,Particulier,PRADS HAUTE BLEONE,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S65-01,"0,75"
84,04 13/03/2018 F F0418057 AUBERGIER OFB LE CHAFFAUT ST JURSON NON,4,13/03/2018,F,F0418057,AUBERGIER,OFB,LE CHAFFAUT ST JURSON,NON,,,,,,
85,"04 13/03/2018 F F0418056 AUBERGIER OFB LE CHAFFAUT ST JURSON OUI 09/11/2018 Canis lupus Italo-alpine XY NA 0,31",4,13/03/2018,F,F0418056,AUBERGIER,OFB,LE CHAFFAUT ST JURSON,OUI,09/11/2018,Canis lupus,Italo-alpine,XY,NA,"0,31"
86,"04 13/03/2018 F F0418152 AUBERT OFB ARCHAIL OUI 18/09/2019 Canis lupus NA NI S65-02 0,48",4,13/03/2018,F,F0418152,AUBERT,OFB,ARCHAIL,OUI,18/09/2019,Canis lupus,NA,NI,S65-02,"0,48"
87,04 13/03/2018 F F0418058 AUBERGIER OFB ST JEANNET NON,4,13/03/2018,F,F0418058,AUBERGIER,OFB,ST JEANNET,NON,,,,,,
88,"04 13/03/2018 F F0418059 AUBERGIER OFB ST JEANNET OUI 09/11/2018 Canis lupus Italo-alpine XY S57-50 0,82",4,13/03/2018,F,F0418059,AUBERGIER,OFB,ST JEANNET,OUI,09/11/2018,Canis lupus,Italo-alpine,XY,S57-50,"0,82"
89,"04 13/03/2018 F F0418062 AUBERGIER OFB LE CHAFFAUT ST JURSON OUI 09/11/2018 Canis lupus Italo-alpine XY S57-45 0,74",4,13/03/2018,F,F0418062,AUBERGIER,OFB,LE CHAFFAUT ST JURSON,OUI,09/11/2018,Canis lupus,Italo-alpine,XY,S57-45,"0,74"
90,"04 13/03/2018 F F0418060 AUBERGIER OFB ST JEANNET OUI 18/09/2019 Canis lupus Italo-alpine NI NA 0,00",4,13/03/2018,F,F0418060,AUBERGIER,OFB,ST JEANNET,OUI,18/09/2019,Canis lupus,Italo-alpine,NI,NA,0
91,"04 13/03/2018 F F0418061 AUBERGIER OFB ST JEANNET OUI 18/09/2019 Canis lupus Italo-alpine NI NA 0,09",4,13/03/2018,F,F0418061,AUBERGIER,OFB,ST JEANNET,OUI,18/09/2019,Canis lupus,Italo-alpine,NI,NA,"0,09"
92,"04 14/03/2018 F F0418055 CALI OFB DIGNE LES BAINS OUI 09/11/2018 Canis lupus Italo-alpine NI NA 0,00",4,14/03/2018,F,F0418055,CALI,OFB,DIGNE LES BAINS,OUI,09/11/2018,Canis lupus,Italo-alpine,NI,NA,0
93,"04 15/03/2018 F F0418069 CALI OFB DIGNE LES BAINS OUI 09/11/2018 Canis lupus Italo-alpine XX S57-55 0,85",4,15/03/2018,F,F0418069,CALI,OFB,DIGNE LES BAINS,OUI,09/11/2018,Canis lupus,Italo-alpine,XX,S57-55,"0,85"
94,"04 15/03/2018 F F0418064 CALI OFB BEYNES OUI 09/11/2018 Canis lupus Italo-alpine NI NA 0,26",4,15/03/2018,F,F0418064,CALI,OFB,BEYNES,OUI,09/11/2018,Canis lupus,Italo-alpine,NI,NA,"0,26"
95,"04 15/03/2018 F F0418070 CALI OFB DIGNE LES BAINS OUI 18/09/2019 Canis lupus Italo-alpine XX S65-19 0,54",4,15/03/2018,F,F0418070,CALI,OFB,DIGNE LES BAINS,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S65-19,"0,54"
96,04 15/03/2018 F F0418068 CALI OFB DIGNE LES BAINS OUI 18/09/2019 Impossible NA,4,15/03/2018,F,F0418068,CALI,OFB,DIGNE LES BAINS,OUI,18/09/2019,Impossible NA,,,,
97,04 15/03/2018 F F0418067 CALI OFB BEYNES OUI 09/11/2018 Impossible NA,4,15/03/2018,F,F0418067,CALI,OFB,BEYNES,OUI,09/11/2018,Impossible NA,,,,
98,"04 15/03/2018 F F0418066 CALI OFB BEYNES OUI 09/11/2018 Canis lupus Italo-alpine NI NA 0,00",4,15/03/2018,F,F0418066,CALI,OFB,BEYNES,OUI,09/11/2018,Canis lupus,Italo-alpine,NI,NA,0
99,04 15/03/2018 F F0418065 CALI OFB SENEZ NON,4,15/03/2018,F,F0418065,CALI,OFB,SENEZ,NON,,,,,,
100,"04 15/03/2018 F F0418063 CALI OFB BEYNES OUI 18/09/2019 Canis lupus Italo-alpine XY NA 0,48",4,15/03/2018,F,F0418063,CALI,OFB,BEYNES,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,NA,"0,48"
101,"04 19/03/2018 F F0418071 ARNAUD OFB BARREME OUI 18/09/2019 Canis lupus Italo-alpine NI NA 0,20",4,19/03/2018,F,F0418071,ARNAUD,OFB,BARREME,OUI,18/09/2019,Canis lupus,Italo-alpine,NI,NA,"0,2"
102,"04 03/04/2018 F F0418083 ROUX PNM COLMARS OUI 17/07/2019 Canis lupus Italo-alpine XY S63-04 0,91",4,03/04/2018,F,F0418083,ROUX,PNM,COLMARS,OUI,17/07/2019,Canis lupus,Italo-alpine,XY,S63-04,"0,91"
103,"04 05/04/2018 F F0418114 ARNAUD OFB BEAUJEU OUI 18/09/2019 Canis lupus Italo-alpine XY NA 0,66",4,05/04/2018,F,F0418114,ARNAUD,OFB,BEAUJEU,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,NA,"0,66"
104,"04 05/04/2018 F F0418115 ARNAUD OFB BEAUJEU OUI 18/09/2019 Canis lupus Italo-alpine NI NA 0,21",4,05/04/2018,F,F0418115,ARNAUD,OFB,BEAUJEU,OUI,18/09/2019,Canis lupus,Italo-alpine,NI,NA,"0,21"
105,"04 07/04/2018 F F0418149 RAYNAUD Particulier PRADS HAUTE BLEONE OUI 18/09/2019 Canis lupus Italo-alpine XY S61-05 0,99",4,07/04/2018,F,F0418149,RAYNAUD,Particulier,PRADS HAUTE BLEONE,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,S61-05,"0,99"
106,"04 07/04/2018 D D0418003 COROMP OFB SISTERON OUI 11/02/2019 Canis lupus Italo-alpine XY S58-07 1,00",4,07/04/2018,D,D0418003,COROMP,OFB,SISTERON,OUI,11/02/2019,Canis lupus,Italo-alpine,XY,S58-07,1
107,04 12/04/2018 F F0418084 DURBEC OFB LARCHE OUI 18/09/2019 Vulpes vulpes,4,12/04/2018,F,F0418084,DURBEC,OFB,LARCHE,OUI,18/09/2019,Vulpes vulpes,,,,
